Mes,Facturacion Real
2023-01,0.00
2023-02,0.00
2023-03,0.00
2023-04,0.00
2023-05,0.00
2023-06,1194.00
2023-07,685.00
2023-08,470.00
2023-09,599.00
2023-10,6964.00
2023-11,7946.00
2023-12,7164.00
2024-01,6120.00
2024-02,6033.00
2024-03,7274.00
2024-04,7661.00
2024-05,6747.00
2024-06,12020.00
2024-07,10475.00
2024-08,9879.00
2024-09,13898.00
2024-10,11803.00
2024-11,790.00
2024-12,12282.00
2025-01,10036.00
2025-02,10523.00
2025-03,12422.00
2025-04,13927.00
2025-05,14453.00
2025-06,15894.00
2025-07,13879.00
2025-08,16543.00
2025-09,22445.00
2025-10,0.00
2025-11,0.00
2025-12,0.00
